,locationid,borough,zone,service_zone,start_date,end_date,active_flag,version
0,1,EWR,Newark Airport,EWR,2024-06-28,,Y,1
1,2,Queens,Jamaica Bay,Boro Zone,2024-06-28,,Y,1
2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,2024-06-28,,Y,1
3,4,Manhattan,Alphabet City,Yellow Zone,2024-06-28,,Y,1
4,5,Staten Island,Arden Heights,Boro Zone,2024-06-28,,Y,1
5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,2024-06-28,,Y,1
6,7,Queens,Astoria,Boro Zone,2024-06-28,,Y,1
7,8,Queens,Astoria Park,Boro Zone,2024-06-28,,Y,1
8,9,Queens,Auburndale,Boro Zone,2024-06-28,,Y,1
9,10,Queens,Baisley Park,Boro Zone,2024-06-28,,Y,1
10,11,Brooklyn,Bath Beach,Boro Zone,2024-06-28,,Y,1
11,12,Manhattan,Battery Park,Yellow Zone,2024-06-28,,Y,1
12,13,Manhattan,Battery Park City,Yellow Zone,2024-06-28,,Y,1
13,14,Brooklyn,Bay Ridge,Boro Zone,2024-06-28,,Y,1
14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,2024-06-28,,Y,1
15,16,Queens,Bayside,Boro Zone,2024-06-28,,Y,1
16,17,Brooklyn,Bedford,Boro Zone,2024-06-28,,Y,1
17,18,Bronx,Bedford Park,Boro Zone,2024-06-28,,Y,1
18,19,Queens,Bellerose,Boro Zone,2024-06-28,,Y,1
19,20,Bronx,Belmont,Boro Zone,2024-06-28,,Y,1
20,21,Brooklyn,Bensonhurst East,Boro Zone,2024-06-28,,Y,1
21,22,Brooklyn,Bensonhurst West,Boro Zone,2024-06-28,,Y,1
22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,2024-06-28,,Y,1
23,24,Manhattan,Bloomingdale,Yellow Zone,2024-06-28,,Y,1
24,25,Brooklyn,Boerum Hill,Boro Zone,2024-06-28,,Y,1
25,26,Brooklyn,Borough Park,Boro Zone,2024-06-28,,Y,1
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,2024-06-28,,Y,1
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,2024-06-28,,Y,1
28,29,Brooklyn,Brighton Beach,Boro Zone,2024-06-28,,Y,1
29,30,Queens,Broad Channel,Boro Zone,2024-06-28,,Y,1
30,31,Bronx,Bronx Park,Boro Zone,2024-06-28,,Y,1
31,32,Bronx,Bronxdale,Boro Zone,2024-06-28,,Y,1
32,33,Brooklyn,Brooklyn Heights,Boro Zone,2024-06-28,,Y,1
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,2024-06-28,,Y,1
34,35,Brooklyn,Brownsville,Boro Zone,2024-06-28,,Y,1
35,36,Brooklyn,Bushwick North,Boro Zone,2024-06-28,,Y,1
36,37,Brooklyn,Bushwick South,Boro Zone,2024-06-28,,Y,1
37,38,Queens,Cambria Heights,Boro Zone,2024-06-28,,Y,1
38,39,Brooklyn,Canarsie,Boro Zone,2024-06-28,,Y,1
39,40,Brooklyn,Carroll Gardens,Boro Zone,2024-06-28,,Y,1
40,41,Manhattan,Central Harlem,Boro Zone,2024-06-28,,Y,1
41,42,Manhattan,Central Harlem North,Boro Zone,2024-06-28,,Y,1
42,43,Manhattan,Central Park,Yellow Zone,2024-06-28,,Y,1
43,44,Staten Island,Charleston/Tottenville,Boro Zone,2024-06-28,,Y,1
44,45,Manhattan,Chinatown,Yellow Zone,2024-06-28,,Y,1
45,46,Bronx,City Island,Boro Zone,2024-06-28,,Y,1
46,47,Bronx,Claremont/Bathgate,Boro Zone,2024-06-28,,Y,1
47,48,Manhattan,Clinton East,Yellow Zone,2024-06-28,,Y,1
48,49,Brooklyn,Clinton Hill,Boro Zone,2024-06-28,,Y,1
49,50,Manhattan,Clinton West,Yellow Zone,2024-06-28,,Y,1
50,51,Bronx,Co-Op City,Boro Zone,2024-06-28,,Y,1
51,52,Brooklyn,Cobble Hill,Boro Zone,2024-06-28,,Y,1
52,53,Queens,College Point,Boro Zone,2024-06-28,,Y,1
53,54,Brooklyn,Columbia Street,Boro Zone,2024-06-28,,Y,1
54,55,Brooklyn,Coney Island,Boro Zone,2024-06-28,,Y,1
55,56,Queens,Corona,Boro Zone,2024-06-28,,Y,1
56,57,Queens,Corona,Boro Zone,2024-06-28,,Y,1
57,58,Bronx,Country Club,Boro Zone,2024-06-28,,Y,1
58,59,Bronx,Crotona Park,Boro Zone,2024-06-28,,Y,1
59,60,Bronx,Crotona Park East,Boro Zone,2024-06-28,,Y,1
60,61,Brooklyn,Crown Heights North,Boro Zone,2024-06-28,,Y,1
61,62,Brooklyn,Crown Heights South,Boro Zone,2024-06-28,,Y,1
62,63,Brooklyn,Cypress Hills,Boro Zone,2024-06-28,,Y,1
63,64,Queens,Douglaston,Boro Zone,2024-06-28,,Y,1
64,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,2024-06-28,,Y,1
65,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,2024-06-28,,Y,1
66,67,Brooklyn,Dyker Heights,Boro Zone,2024-06-28,,Y,1
67,68,Manhattan,East Chelsea,Yellow Zone,2024-06-28,,Y,1
68,69,Bronx,East Concourse/Concourse Village,Boro Zone,2024-06-28,,Y,1
69,70,Queens,East Elmhurst,Boro Zone,2024-06-28,,Y,1
70,71,Brooklyn,East Flatbush/Farragut,Boro Zone,2024-06-28,,Y,1
71,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,2024-06-28,,Y,1
72,73,Queens,East Flushing,Boro Zone,2024-06-28,,Y,1
73,74,Manhattan,East Harlem North,Boro Zone,2024-06-28,,Y,1
74,75,Manhattan,East Harlem South,Boro Zone,2024-06-28,,Y,1
75,76,Brooklyn,East New York,Boro Zone,2024-06-28,,Y,1
76,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,2024-06-28,,Y,1
77,78,Bronx,East Tremont,Boro Zone,2024-06-28,,Y,1
78,79,Manhattan,East Village,Yellow Zone,2024-06-28,,Y,1
79,80,Brooklyn,East Williamsburg,Boro Zone,2024-06-28,,Y,1
80,81,Bronx,Eastchester,Boro Zone,2024-06-28,,Y,1
81,82,Queens,Elmhurst,Boro Zone,2024-06-28,,Y,1
82,83,Queens,Elmhurst/Maspeth,Boro Zone,2024-06-28,,Y,1
83,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,2024-06-28,,Y,1
84,85,Brooklyn,Erasmus,Boro Zone,2024-06-28,,Y,1
85,86,Queens,Far Rockaway,Boro Zone,2024-06-28,,Y,1
86,87,Manhattan,Financial District North,Yellow Zone,2024-06-28,,Y,1
87,88,Manhattan,Financial District South,Yellow Zone,2024-06-28,,Y,1
88,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,2024-06-28,,Y,1
89,90,Manhattan,Flatiron,Yellow Zone,2024-06-28,,Y,1
90,91,Brooklyn,Flatlands,Boro Zone,2024-06-28,,Y,1
91,92,Queens,Flushing,Boro Zone,2024-06-28,,Y,1
92,93,Queens,Flushing Meadows-Corona Park,Boro Zone,2024-06-28,,Y,1
93,94,Bronx,Fordham South,Boro Zone,2024-06-28,,Y,1
94,95,Queens,Forest Hills,Boro Zone,2024-06-28,,Y,1
95,96,Queens,Forest Park/Highland Park,Boro Zone,2024-06-28,,Y,1
96,97,Brooklyn,Fort Greene,Boro Zone,2024-06-28,,Y,1
97,98,Queens,Fresh Meadows,Boro Zone,2024-06-28,,Y,1
98,99,Staten Island,Freshkills Park,Boro Zone,2024-06-28,,Y,1
99,100,Manhattan,Garment District,Yellow Zone,2024-06-28,,Y,1
100,101,Queens,Glen Oaks,Boro Zone,2024-06-28,,Y,1
101,102,Queens,Glendale,Boro Zone,2024-06-28,,Y,1
102,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,2024-06-28,,Y,1
103,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,2024-06-28,,Y,1
104,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,2024-06-28,,Y,1
105,106,Brooklyn,Gowanus,Boro Zone,2024-06-28,,Y,1
106,107,Manhattan,Gramercy,Yellow Zone,2024-06-28,,Y,1
107,108,Brooklyn,Gravesend,Boro Zone,2024-06-28,,Y,1
108,109,Staten Island,Great Kills,Boro Zone,2024-06-28,,Y,1
109,110,Staten Island,Great Kills Park,Boro Zone,2024-06-28,,Y,1
110,111,Brooklyn,Green-Wood Cemetery,Boro Zone,2024-06-28,,Y,1
111,112,Brooklyn,Greenpoint,Boro Zone,2024-06-28,,Y,1
112,113,Manhattan,Greenwich Village North,Yellow Zone,2024-06-28,,Y,1
113,114,Manhattan,Greenwich Village South,Yellow Zone,2024-06-28,,Y,1
114,115,Staten Island,Grymes Hill/Clifton,Boro Zone,2024-06-28,,Y,1
115,116,Manhattan,Hamilton Heights,Boro Zone,2024-06-28,,Y,1
116,117,Queens,Hammels/Arverne,Boro Zone,2024-06-28,,Y,1
117,118,Staten Island,Heartland Village/Todt Hill,Boro Zone,2024-06-28,,Y,1
118,119,Bronx,Highbridge,Boro Zone,2024-06-28,,Y,1
119,120,Manhattan,Highbridge Park,Boro Zone,2024-06-28,,Y,1
120,121,Queens,Hillcrest/Pomonok,Boro Zone,2024-06-28,,Y,1
121,122,Queens,Hollis,Boro Zone,2024-06-28,,Y,1
122,123,Brooklyn,Homecrest,Boro Zone,2024-06-28,,Y,1
123,124,Queens,Howard Beach,Boro Zone,2024-06-28,,Y,1
124,125,Manhattan,Hudson Sq,Yellow Zone,2024-06-28,,Y,1
125,126,Bronx,Hunts Point,Boro Zone,2024-06-28,,Y,1
126,127,Manhattan,Inwood,Boro Zone,2024-06-28,,Y,1
127,128,Manhattan,Inwood Hill Park,Boro Zone,2024-06-28,,Y,1
128,129,Queens,Jackson Heights,Boro Zone,2024-06-28,,Y,1
129,130,Queens,Jamaica,Boro Zone,2024-06-28,,Y,1
130,131,Queens,Jamaica Estates,Boro Zone,2024-06-28,,Y,1
131,132,Queens,JFK Airport,Airports,2024-06-28,,Y,1
132,133,Brooklyn,Kensington,Boro Zone,2024-06-28,,Y,1
133,134,Queens,Kew Gardens,Boro Zone,2024-06-28,,Y,1
134,135,Queens,Kew Gardens Hills,Boro Zone,2024-06-28,,Y,1
135,136,Bronx,Kingsbridge Heights,Boro Zone,2024-06-28,,Y,1
136,137,Manhattan,Kips Bay,Yellow Zone,2024-06-28,,Y,1
137,138,Queens,LaGuardia Airport,Airports,2024-06-28,,Y,1
138,139,Queens,Laurelton,Boro Zone,2024-06-28,,Y,1
139,140,Manhattan,Lenox Hill East,Yellow Zone,2024-06-28,,Y,1
140,141,Manhattan,Lenox Hill West,Yellow Zone,2024-06-28,,Y,1
141,142,Manhattan,Lincoln Square East,Yellow Zone,2024-06-28,,Y,1
142,143,Manhattan,Lincoln Square West,Yellow Zone,2024-06-28,,Y,1
143,144,Manhattan,Little Italy/NoLiTa,Yellow Zone,2024-06-28,,Y,1
144,145,Queens,Long Island City/Hunters Point,Boro Zone,2024-06-28,,Y,1
145,146,Queens,Long Island City/Queens Plaza,Boro Zone,2024-06-28,,Y,1
