VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2020-01-01 16:51:01,2020-01-01 17:17:54,N,1,74,248,1,8.2,26.5,0.0,0.5,0.0,0.0,,0.3,27.3,5,1.0,0.0
1,2020-01-09 11:05:06,2020-01-09 11:13:29,N,5,20,20,1,0.5,8.0,0.0,0.0,0.0,0.0,,0.0,8.0,5,2.0,0.0
1,2020-01-12 03:21:43,2020-01-12 03:24:45,N,1,223,223,1,0.6,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,5,1.0,0.0
1,2020-01-21 06:29:51,2020-01-21 06:51:32,N,1,80,45,1,4.1,17.0,2.75,0.5,0.0,0.0,,0.3,20.55,5,1.0,2.75
1,2020-01-23 17:10:54,2020-01-23 17:36:48,N,5,60,20,1,2.8,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,5,2.0,0.0
1,2020-01-23 18:17:12,2020-01-23 18:34:27,N,5,60,212,1,3.4,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,5,2.0,0.0
1,2020-01-24 14:37:58,2020-01-24 15:18:57,N,5,247,168,2,3.7,13.0,0.0,0.0,0.0,0.0,,0.0,13.0,5,2.0,0.0
1,2020-01-30 17:20:50,2020-01-30 17:22:07,N,1,179,179,1,0.1,3.0,3.75,0.5,0.0,0.0,,0.3,7.55,5,1.0,0.0
1,2020-01-30 22:34:24,2020-01-30 22:39:03,N,1,223,223,2,0.9,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,5,1.0,0.0
1,2020-01-31 15:05:50,2020-01-31 15:26:20,N,1,74,238,1,2.8,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,5,1.0,0.0
1,2020-03-05 15:38:53,2020-03-05 15:50:49,Y,1,80,37,1,1.4,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,5,1.0,0.0
1,2020-03-06 13:36:54,2020-03-06 14:09:34,N,5,254,235,1,7.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,2.0,0.0
1,2020-03-13 15:43:13,2020-03-13 16:48:05,N,5,220,75,1,13.3,20.0,0.0,0.0,0.0,0.0,,0.0,20.0,5,2.0,0.0
1,2020-03-14 11:24:46,2020-03-14 11:25:07,N,1,244,244,2,2.2,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,5,1.0,0.0
1,2020-03-18 14:58:50,2020-03-18 15:17:59,N,1,97,89,1,3.6,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,5,1.0,0.0
1,2019-08-01 06:49:23,2019-08-01 07:02:22,N,1,145,233,1,3.2,12.5,2.75,0.5,0.0,0.0,,0.3,16.05,5,1.0,2.75
1,2019-08-04 01:14:51,2019-08-04 01:16:43,N,1,41,75,1,0.4,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,5,1.0,0.0
1,2019-08-06 13:00:09,2019-08-06 13:37:33,N,1,201,123,2,11.3,38.0,0.0,0.5,0.0,2.29,,0.3,41.09,5,1.0,0.0
1,2019-08-07 13:59:27,2019-08-07 14:30:41,N,1,225,35,2,4.1,21.5,0.0,0.5,0.0,0.0,,0.3,22.3,5,1.0,0.0
2,2019-08-08 23:34:39,2019-08-08 23:57:32,N,1,256,163,2,6.97,23.0,0.5,0.5,6.76,0.0,0.0,0.3,33.81,1,,2.75
2,2019-08-09 01:04:21,2019-08-09 01:07:04,N,1,256,80,3,0.53,4.0,0.5,0.5,0.0,0.0,0.0,0.3,5.3,2,,0.0
2,2019-08-09 01:13:01,2019-08-09 01:18:50,N,1,80,112,2,1.17,6.5,0.5,0.5,1.95,0.0,0.0,0.3,9.75,1,,0.0
1,2019-08-09 15:38:17,2019-08-09 15:52:10,N,1,82,82,1,1.8,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,5,1.0,0.0
2,2019-08-09 15:44:07,2019-08-09 15:50:27,N,1,75,237,3,1.47,7.0,0.0,0.5,0.0,0.0,0.0,0.3,10.55,2,,2.75
2,2019-08-09 16:07:03,2019-08-09 16:11:51,N,1,75,74,2,0.7,5.0,1.0,0.5,1.36,0.0,0.0,0.3,8.16,1,,0.0
2,2019-08-09 16:22:17,2019-08-09 16:27:26,N,1,43,238,2,0.72,5.5,1.0,0.5,1.82,0.0,0.0,0.3,9.12,1,,0.0
2,2019-08-09 16:33:47,2019-08-09 16:42:41,N,1,75,74,2,1.32,8.0,1.0,0.5,1.0,0.0,0.0,0.3,10.8,1,,0.0
2,2019-08-09 17:20:49,2019-08-09 17:31:58,N,1,75,141,2,1.86,9.5,1.0,0.5,2.81,0.0,0.0,0.3,16.86,1,,2.75
2,2019-08-09 17:42:39,2019-08-09 17:47:18,N,1,75,75,2,0.66,5.0,1.0,0.5,1.7,0.0,0.0,0.3,8.5,1,,0.0
2,2019-08-09 17:57:06,2019-08-09 18:29:12,N,1,43,107,2,4.11,21.5,1.0,0.5,5.0,0.0,0.0,0.3,31.05,1,,2.75
2,2019-08-09 19:01:37,2019-08-09 19:04:40,N,1,43,43,2,0.72,4.5,1.0,0.5,1.26,0.0,0.0,0.3,7.56,1,,0.0
2,2019-08-09 20:00:07,2019-08-09 20:19:08,N,1,43,186,2,5.81,20.0,0.5,0.5,6.01,0.0,0.0,0.3,30.06,1,,2.75
2,2019-08-09 21:42:32,2019-08-09 22:09:54,N,1,255,234,2,4.52,20.0,0.5,0.5,4.81,0.0,0.0,0.3,28.86,1,,2.75
2,2019-08-09 22:39:51,2019-08-09 23:06:46,N,1,255,163,3,6.04,23.5,0.5,0.5,0.0,0.0,0.0,0.3,27.55,2,,2.75
2,2019-08-10 01:52:36,2019-08-10 02:09:47,N,1,255,234,2,4.31,15.5,0.5,0.5,2.35,0.0,0.0,0.3,21.9,1,,2.75
2,2019-08-10 02:40:07,2019-08-10 02:52:45,N,1,256,79,2,3.23,13.0,0.5,0.5,4.26,0.0,0.0,0.3,21.31,1,,2.75
2,2019-08-10 03:24:39,2019-08-10 03:40:30,N,1,112,37,2,3.77,14.0,0.5,0.5,3.06,0.0,0.0,0.3,18.36,1,,0.0
1,2019-08-10 09:15:48,2019-08-10 09:48:43,N,1,25,170,1,6.4,27.0,2.75,0.5,0.0,0.0,,0.3,30.55,5,1.0,2.75
2,2019-08-10 19:33:44,2019-08-10 20:01:58,N,1,112,166,1,7.25,25.5,0.0,0.5,7.26,0.0,0.0,0.3,36.31,1,,2.75
2,2019-08-10 20:20:41,2019-08-10 20:25:01,N,1,75,236,1,0.9,5.5,0.5,0.5,1.91,0.0,0.0,0.3,11.46,1,,2.75
2,2019-08-10 21:06:24,2019-08-10 21:23:21,N,1,112,189,2,4.49,16.0,0.5,0.5,3.46,0.0,1.95,0.3,22.71,1,,0.0
2,2019-08-10 21:49:31,2019-08-10 22:18:03,N,1,255,164,2,5.66,23.0,0.5,0.5,0.0,0.0,0.0,0.3,27.05,2,,2.75
2,2019-08-10 23:11:40,2019-08-10 23:18:07,N,1,255,217,2,1.33,6.5,0.5,0.5,1.0,0.0,0.0,0.3,8.8,1,,0.0
2,2019-08-11 00:26:36,2019-08-11 00:41:29,N,1,255,148,1,3.05,13.0,0.5,0.5,3.41,0.0,0.0,0.3,20.46,1,,2.75
2,2019-08-11 01:29:46,2019-08-11 01:35:21,N,1,112,255,2,1.11,6.0,0.5,0.5,1.1,0.0,0.0,0.3,8.4,1,,0.0
2,2019-08-11 01:58:03,2019-08-11 02:03:48,N,1,36,37,2,1.27,6.5,0.5,0.5,1.95,0.0,0.0,0.3,9.75,1,,0.0
2,2019-08-11 02:43:18,2019-08-11 02:49:52,N,1,256,148,2,2.1,8.5,0.5,0.5,0.0,0.0,0.0,0.3,12.55,2,,2.75
1,2019-08-12 11:28:04,2019-08-12 11:51:09,N,1,247,3,2,9.0,27.5,0.0,0.5,0.0,0.0,,0.3,28.3,5,1.0,0.0
2,2019-08-12 14:26:41,2019-08-12 14:43:09,N,1,43,233,3,4.2,15.5,0.0,0.5,0.0,0.0,0.0,0.3,19.05,2,,2.75
2,2019-08-12 15:07:12,2019-08-12 15:22:16,N,1,75,162,3,2.47,11.5,0.0,0.5,0.0,0.0,0.0,0.3,15.05,2,,2.75
2,2019-08-12 15:42:26,2019-08-12 15:52:12,N,1,43,237,2,1.67,8.5,0.0,0.5,2.41,0.0,0.0,0.3,14.46,1,,2.75
2,2019-08-12 16:29:33,2019-08-12 16:33:49,N,1,75,74,2,1.24,6.0,1.0,0.5,0.0,0.0,0.0,0.3,7.8,1,,0.0
2,2019-08-12 17:03:32,2019-08-12 17:10:40,N,1,43,238,2,1.33,7.0,1.0,0.5,2.31,0.0,0.0,0.3,13.86,1,,2.75
2,2019-08-12 17:44:13,2019-08-12 17:50:46,N,1,43,238,2,1.15,6.5,1.0,0.5,1.66,0.0,0.0,0.3,9.96,1,,0.0
2,2019-08-12 18:09:35,2019-08-12 18:33:37,N,1,75,112,2,5.54,21.0,1.0,0.5,2.0,0.0,0.0,0.3,27.55,1,,2.75
2,2019-08-14 14:39:25,2019-08-14 14:45:25,N,1,74,41,2,0.88,6.0,0.0,0.5,0.0,0.0,0.0,0.3,6.8,2,,0.0
2,2019-08-14 15:12:14,2019-08-14 15:37:05,N,1,43,48,2,3.74,18.5,0.0,0.5,4.41,0.0,0.0,0.3,26.46,1,,2.75
2,2019-08-14 16:18:11,2019-08-14 16:19:40,N,1,75,43,2,0.51,3.5,1.0,0.5,0.0,0.0,0.0,0.3,8.05,2,,2.75
