[2024-06-28T23:05:15.294+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-28T23:05:15.318+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T23:05:11.652683+00:00 [queued]>
[2024-06-28T23:05:15.328+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T23:05:11.652683+00:00 [queued]>
[2024-06-28T23:05:15.328+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-28T23:05:15.341+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): data_delivery> on 2024-06-28 23:05:11.652683+00:00
[2024-06-28T23:05:15.347+0000] {standard_task_runner.py:63} INFO - Started process 520 to run task
[2024-06-28T23:05:15.350+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'NYC_Taxi_pipeline', 'data_delivery', 'manual__2024-06-28T23:05:11.652683+00:00', '--job-id', '182', '--raw', '--subdir', 'DAGS_FOLDER/NYC_Taxi_pipeline.py', '--cfg-path', '/tmp/tmp2au71tgz']
[2024-06-28T23:05:15.352+0000] {standard_task_runner.py:91} INFO - Job 182: Subtask data_delivery
[2024-06-28T23:05:15.397+0000] {task_command.py:426} INFO - Running <TaskInstance: NYC_Taxi_pipeline.data_delivery manual__2024-06-28T23:05:11.652683+00:00 [running]> on host 79a59ce16f65
[2024-06-28T23:05:15.634+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Mahmoud' AIRFLOW_CTX_DAG_ID='NYC_Taxi_pipeline' AIRFLOW_CTX_TASK_ID='data_delivery' AIRFLOW_CTX_EXECUTION_DATE='2024-06-28T23:05:11.652683+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-28T23:05:11.652683+00:00'
[2024-06-28T23:05:15.635+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-28T23:05:15.645+0000] {NYC_Taxi_pipeline.py:54} INFO - data_delivery started
[2024-06-28T23:05:15.645+0000] {Load_Data.py:20} INFO - Loading location Dimension ...
[2024-06-28T23:05:15.652+0000] {db_utils.py:21} INFO - Connected to PostgreSQL database successfully
[2024-06-28T23:05:15.656+0000] {Load_Data.py:36} INFO - Existing records columns: ['locationid', 'borough', 'zone', 'service_zone', 'start_date', 'end_date', 'active_flag', 'version']
[2024-06-28T23:05:15.743+0000] {db_utils.py:30} INFO - PostgreSQL connection is closed
[2024-06-28T23:05:15.744+0000] {Table_creation.py:51} INFO - Loading data into table DimLocation...
[2024-06-28T23:05:15.747+0000] {db_utils.py:21} INFO - Connected to PostgreSQL database successfully
[2024-06-28T23:05:15.748+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T23:05:15.749+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T23:05:15.749+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
[2024-06-28T23:05:15.749+0000] {Table_creation.py:64} INFO - insert new row to dimlocation
